produto_filial_id;filial_id;produto_id;dt_inicio;valor;valor_cnpj;valor_compra;ranking
537628;8;381919;2021-04-06 16:13:29.363874;335.00;335.00;;1
537731;8;231387;2021-04-07 08:52:10.113326;1779.00;1779.00;;1
537742;8;381922;2021-04-07 09:31:55.151184;45.00;45.00;18.14;1
537807;8;381931;2021-04-08 11:42:53.126902;1128.60;1128.60;627.00;1
538037;8;381937;2021-05-04 14:53:07;66.88;66.88;38.00;1
538043;8;381938;2021-04-08 11:40:51.90957;241.00;241.00;127.19;1
538218;8;381942;2021-04-09 09:58:28.100718;109.00;109.00;;1
538357;96;271470;2021-05-11 17:26:38;120.00;120.00;;1
538391;8;381945;2021-04-12 09:35:36.777256;1017.50;1017.50;;1
538413;8;381947;2021-04-30 16:39:45;443.85;;240.06;1
538416;8;315898;2021-04-12 13:28:30;443.85;;239.92;1
538421;8;246065;2021-04-30 16:48:25;82.20;;44.43;1
538426;8;246071;2021-04-30 16:44:13;82.20;;44.43;1
538429;8;358905;2021-04-12 13:29:35;116.64;;61.16;1
538434;8;358904;2021-04-12 13:29:52;116.64;;61.16;1
538445;8;354418;2021-04-12 13:30:52;89.13;;46.91;1
538451;8;261312;2021-04-12 11:16:06;57.11;;30.06;1
538460;8;381951;2021-04-16 17:13:17;110.52;;51.18;1
538467;8;381952;2021-04-16 17:11:55;110.52;;51.18;1
538470;8;381953;2021-04-16 17:15:59;122.90;;56.91;1
538475;8;381954;2021-04-16 17:14:53;122.90;;56.91;1
538490;8;31873;2021-04-12 13:09:53;45.00;;20.65;1
538493;8;43338;2021-04-12 13:11:02;47.18;;24.83;1
538496;8;43339;2021-04-12 13:13:21;47.18;;24.83;1
538499;8;229917;2021-04-12 13:19:12;49.67;;26.14;1
538504;8;229952;2021-04-12 13:22:02;49.67;;26.14;1
538507;8;267642;2021-04-12 13:27:04;14.99;;7.45;1
538594;8;369872;2021-04-14 11:19:55.029455;70.00;70.00;;1
538728;8;381958;2021-04-13 09:07:42.355023;82.08;82.08;43.20;1
538732;8;43617;2021-04-13 09:39:46.96058;60.00;60.00;;1
538742;8;43618;2021-04-13 09:52:12.987457;60.00;60.00;;1
538747;8;241438;2021-04-13 10:40:04.529427;379.00;379.00;;1
538750;8;241437;2021-04-13 10:44:53.730266;379.00;379.00;;1
538864;8;301361;2021-04-13 16:03:09.105687;119.99;119.99;;1
539083;8;381973;2021-04-14 15:21:27.582939;722.00;722.00;380.00;1
539085;8;381974;2021-04-14 15:25:08.296668;266.00;266.00;;1
539087;8;381975;2021-04-14 15:25:52.82075;361.00;361.00;;1
